study_surface,factor_or_mechanism,relationship_strength,sparta_id,sparta_name,publication_interpretation,interpretation_boundary
"Study 1","E1 unauthorized valid command","Direct behavioral correspondence","IA-0007.02","Malicious Commanding via Valid GS","Valid-looking unauthorized commanding through the synthetic command path corresponds to misuse of legitimate command authority","No mission ground-station compromise, operational credentials, RF commanding, or full initial-access chain was implemented"
"Study 1","E2 replayed command","Direct behavioral correspondence","EX-0001.01","Replay — Command Packets","Replay of a previously valid laboratory command corresponds directly to stale command-packet replay behavior","No real spacecraft command capture or RF retransmission was performed"
"Study 1","E2 replayed command","Conceptual impact adjacency","IMP-0011","Command and Data Flow Manipulation","SPARTA v4.0 impact semantics include timing, sequence, and duplication manipulation; this complements rather than replaces EX-0001.01","The frozen experiment remains a replay treatment and was not retroactively redesigned around IMP-0011"
"Study 1","E3 compromised synthetic update","Direct behavioral correspondence","IA-0007.01","Compromise On-Orbit Update","Manipulation of a synthetic update artifact corresponds to compromised on-orbit update behavior","No operational update service, production signing key, real flight image, or mission supply chain was compromised"
"Study 1","E3 compromised synthetic update","Historical/conditional frozen mapping","EX-0004","Compromise Boot Memory","The ID remains in the frozen event catalog, but current SPARTA defines it specifically around boot memory/configuration and early boot execution","E3 does not establish that boot ROM, bootloader, boot memory, or early boot execution was compromised in every trial"
"Study 1","E3 compromised synthetic update","Conceptual impact adjacency","IMP-0012","Software, Firmware, or Programmable Logic Manipulation","Current impact vocabulary is relevant to malicious software/firmware alteration","The completed E3 campaign must not be retroactively relabeled as IMP-0012"
"Study 1","E4 telemetry/observability degradation","Strong/qualified behavioral correspondence","DE-0003.06","Telemetry Downlink Modes","Reduced policy-visible telemetry/evidence is behaviorally consistent with degraded telemetry visibility","No RF jamming, operational telemetry interception, or full SPARTA mechanism was implemented"
"Study 1","E4 telemetry/observability degradation","Conceptual adjacency","DE-0003.13","Trusted Process Reporting Suppression","Current SPARTA includes malicious suppression/delay/filtering within trusted reporting processes","E4 performs deterministic software-visible evidence reduction and does not inject into or compromise a trusted process"
"Study 2","V0 complete/current evidence","Not a SPARTA technique","N/A","Reference condition","Baseline policy-visible evidence condition","Not adversarial behavior"
"Study 2","V1 omission","Experimental condition; possible conceptual adjacency","N/A","No unique direct technique","Omitted evidence can resemble outcomes of reporting suppression or flow interference","Frozen V1/A0 does not prescribe an adversarial access/delivery mechanism"
"Study 2","V2 stale/replayed evidence","Strong conceptual correspondence","EX-0001 / IMP-0011","Replay / Command and Data Flow Manipulation","Staleness/replay relates to replay and timing/sequence/delivery manipulation when adversarially caused","Frozen V2 is an evidence-state mechanism, not a complete operational attack path"
"Study 2","V3 contradictory independent evidence","Experimental condition; conditional adjacency","IMP-0010","Data Manipulation","Adversarial falsification could create contradictory evidence through data manipulation","Frozen Block-A V3/A0 is independent disagreement without producer compromise, so adversarial falsification must not be inferred"
"Study 2","V4 post-signature manipulation","Strong behavioral correspondence","IMP-0010","Data Manipulation","Deliberate alteration of policy-visible information after signing matches current data-manipulation impact semantics","Synthetic treatment does not identify a real-world initial-access or delivery technique"
"Study 2","V5 bounded producer compromise","Strong effect-semantic correspondence","IMP-0010","Data Manipulation","A controlled producer can emit false policy-visible information while preserving signature/currentness qualification","The producer-compromise entry path is intentionally unspecified; do not infer IA-0009, IA-0007, supply-chain compromise, credential theft, or another access technique"
"Study 2","A0–A3 adversary classes","Not a SPARTA technique","N/A","Adversary-budget construct","Defines how many policy-visible evidence producers are controlled and which trust anchors remain outside the budget","Does not specify how producer compromise was achieved"
"Study 2","K0–K4 contact regimes","Not a SPARTA technique","N/A","Contact/authorization availability construct","Deterministic SIL availability profiles used to study response/recovery under contact constraints","Must not be labeled RF jamming, communications denial, ground-station compromise, or another adversarial communications mechanism"
"Study 1 / Study 2","Mode restriction / trusted recovery concepts","Conceptual defensive adjacency","CM0044","Cyber-safe Mode","Study mechanisms share the general goal of preserving/re-establishing controlled recovery after compromise","Experimental safe/recovery actions do not implement the complete SPARTA countermeasure and do not establish compliance"
