dimension,level,detail
population,complete factorial,"3 profiles × 4 policies × 4 regimes × 4 disruptions × 6 phase offsets × 3 deadlines = 3456 positions"
profile,PROFILE_512_44,"ML-KEM-512 + ML-DSA-44; base modeled transition crypto bytes=12560"
profile,PROFILE_768_65,"ML-KEM-768 + ML-DSA-65; base modeled transition crypto bytes=17460"
profile,PROFILE_1024_87,"ML-KEM-1024 + ML-DSA-87; base modeled transition crypto bytes=24236"
policy,P0_HARD_CUTOVER,"predecessor revoked at recovery start"
policy,P1_STAGED_CUTOVER,"predecessor retained through staging; atomic predecessor revoke/successor accept at commit"
policy,P2_HYBRID_OVERLAP,"successor acceptance begins after transition proof; predecessor revoked at commit"
policy,P3_CONTACT_AWARE_STAGED,"P1 semantics plus deterministic nominal pre-commit contact-budget guard"
contact,R1_FREQUENT_SMALL,"16 contacts × 4096 bytes; 65536 bytes/full 48-slot cycle"
contact,R2_PERIODIC_MEDIUM,"8 contacts × 8192 bytes; 65536 bytes/full 48-slot cycle"
contact,R3_SPARSE_LARGE,"4 contacts × 16384 bytes; 65536 bytes/full 48-slot cycle"
contact,R4_CLUSTERED_MEDIUM,"8 contacts × 8192 bytes in four two-contact clusters; 65536 bytes/full 48-slot cycle"
disruption,A0_NONE,"no modeled transport disruption"
disruption,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,"first allocation to selected largest object lost once"
disruption,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,"proof withheld in first contact where it becomes ready"
disruption,A3_STALE_EPOCH_REPLAY_AT_COMMIT,"valid stale commit rejected at first commit opportunity"
phase_offset,0..5,"six deterministic compromise placements in synthetic 48-slot cycle"
deadline,D12,"TRUST_RESTORED completion slot must be <12"
deadline,D24,"TRUST_RESTORED completion slot must be <24"
deadline,D48,"TRUST_RESTORED completion slot must be <48"
