id,author,year,title,venue,method,artifact_or_focus,relationship_to_proposed_study,doi_or_source,access_or_license
L-001,Bakirtzis et al.,2026,Mission Aware Cyber-Physical Security,Systems Engineering,Systems-theoretic mission/security modeling,"Mission requirements, functions, structure, attack evidence",Primary theoretical foundation; not a novel concept to re-claim,10.1002/sys.70018,CC BY
L-002,Thangavel et al.,2024,Artificial Intelligence for Trusted Autonomous Satellite Operations,Progress in Aerospace Sciences,Review/conceptual synthesis,"Trusted autonomy, safety, integrity, cyber-physical security",Shows trusted autonomy is established; our gap is cyber-response policy evaluation,10.1016/j.paerosci.2023.100960,CC BY
L-003,Wanninger,2025,"Knowledge-based satellite failure detection, isolation and recovery",CEAS Space Journal,Rule-based implementation and validation,CLIPS-based FDIR in onboard software reference,FDIR is established; distinguish adversarial evidence and mission trade-offs,10.1007/s12567-025-00651-6,CC BY 4.0
L-004,Wanninger,2026,Performance of rule-based system CLIPS on microcontrollers,CEAS Space Journal,Embedded performance evaluation,Rule-based FDIR on constrained processors,Provides implementation/performance baseline,10.1007/s12567-025-00693-w,Open access
L-005,Idan et al.,2025,AegisSat: A Satellite Cybersecurity Testbed,NDSS SpaceSec,Physical/emulated CubeSat testbed,Labeled attacks and telemetry,Generic testbed is not novel; may supply external comparison,NDSS SpaceSec 2025,Paper public
L-006,Fayyaz et al.,2026,CubeSat Cybersecurity Dataset for Intrusion Detection (CuCD-ID),Data in Brief,NOS3/cFS data-generation study,"Command flooding, false data injection, defense impairment, storage exhaustion",Useful baseline; lacks response/recovery outcomes,10.1016/j.dib.2026.112598,CC BY
L-007,Geletko et al.,2019,NOS3: the STF-1 CubeSat case study,Aerospace,Software-only simulator case study,"Digital twin for development, testing, training",Supports simulator choice; testbed is infrastructure,10.3390/aerospace6010004,Open access
L-008,NASA NOS3 team,2024,The State of NOS3,NASA NTRS,Technical presentation/report,NOS3 digital-twin architecture and current capabilities,Supports reproducible software-only environment,NASA NTRS 20240004699,U.S. government source
L-009,Kotowski et al.,2024,European Space Agency Benchmark for Anomaly Detection in Satellite Telemetry,ESA/arXiv,Benchmark and dataset,Real multivariate satellite telemetry,"Use for calibration, not cyber-response causal claims",10.48550/arXiv.2406.17826,Dataset CC BY 3.0 IGO
L-010,Ruszczak et al.,2024,The OPS-SAT benchmark for detecting anomalies in satellite telemetry,arXiv/benchmark,Dataset and model benchmark,OPS-SAT telemetry and 30 baselines,Use for calibration; ordinary anomaly comparison is crowded,10.48550/arXiv.2407.04730,Dataset CC BY 4.0
L-011,The Aerospace Corporation,Current,SPARTA,Public taxonomy,Threat and countermeasure knowledge base,Unclassified spacecraft TTPs,"Use for scenario traceability, not prevalence claims",https://sparta.aerospace.org/,Public web resource
L-012,NIST,2008,SP 800-115 Technical Guide to Information Security Testing and Assessment,NIST,Testing guidance,"Planning, conducting, and documenting security tests",Basis for lab Rules of Engagement and test planning,10.6028/NIST.SP.800-115,U.S. government publication
