claim_id,manuscript_location,claim,frozen_evidence,allowed_publication_language,prohibited_overreach
S8-C01,Methods,"Complete deterministic factorial population contains 3456 positions","study8/STUDY8_PROTOCOL.json; study8/analysis/PHASE8_5_STATISTICAL_ANALYSIS_PLAN.json; study8/STUDY8_TECHNICAL_CLOSE.json","complete frozen deterministic modeled population","random sample; representative mission population; empirical field sample"
S8-C02,Results 4.1,"All four policies succeed in 635/864 positions and P3-P1=0/1","study8/analysis/results/primary_findings.json; study8/STUDY8_TECHNICAL_CLOSE.json","exact null primary policy contrast in the frozen population","no policy can ever improve recovery; policy is irrelevant in real missions"
S8-C03,Results 4.1,"P3-P1 is zero in every prespecified regime/profile/disruption/deadline stratum","study8/analysis/results/primary_findings.json","prespecified stratified contrasts are all exactly zero","universal equivalence across unmodeled conditions"
S8-C04,Results 4.2,"Profile success is 1080/1152, 748/1152, and 712/1152","study8/analysis/results/primary_findings.json; study8/analysis/results/interpretation_audit.json","modeled success differs with standardized cryptographic-object bundle","measured ML-KEM/ML-DSA speed, CPU, energy, or security-strength comparison"
S8-C05,Results 4.2,"Success is non-increasing with increasing profile object budget in 1152/1152 matched positions","study8/analysis/results/primary_findings.json","matched finite-model ordering under frozen object budgets","causal claim about all PQC deployments; recommendation to select a weaker profile"
S8-C06,Results 4.3,"R1/R2/R3/R4 success differs despite equal 65536-byte complete-cycle capacity","study8/STUDY8_CONTACT_MODEL.md; study8/analysis/results/primary_findings.json","partitioning and logical-slot placement of equal complete-cycle capacity condition modeled deadline feasibility","orbital geometry measured; RF scheduling measured; real contact-duration result"
S8-C07,Results 4.3,"P1/P3 success is 94/288 at D12, 253/288 at D24, and 288/288 at D48","study8/analysis/results/primary_findings.json","logical recovery horizon conditions modeled feasibility","conversion of D12/D24/D48 to seconds, minutes, or orbital periods"
S8-C08,Results 4.4,"P0 has zero legacy exposure but mean control unavailability 10537/864; P1 reverses that state tradeoff","study8/analysis/results/primary_findings.json","logical policy-state availability/exposure tradeoff","real spacecraft availability or safety duration"
S8-C09,Results 4.4,"P2 mean dual-epoch overlap is 2941/864 logical slots","study8/PHASE8_0_AMENDMENT_1.json; study8/analysis/results/primary_findings.json","modeled logical overlap endpoint","empirical attack window duration or quantified operational risk"
S8-C10,Results 4.4,"P3 uses lower mean contacts, modeled crypto bytes, and attempts than P1 while slightly increasing legacy exposure","study8/analysis/results/primary_findings.json; study8/analysis/results/interpretation_audit.json","deterministic model resource/state difference","network bandwidth saving, operator-effort saving, RF efficiency, or mission-time saving"
S8-C11,Results 4.4,"P1/P2 failures include 52 epoch divergence and 177 insufficient transfer; P3 includes 148 contact budget exhausted and 81 insufficient transfer","study8/analysis/results/primary_findings.json; study8/analysis/results/interpretation_audit.json","aggregate terminal-state distribution","post-hoc row-level causal mapping between failure labels"
S8-C12,Results 4.4,"rollback_invoked and stale_epoch_acceptance are zero across the frozen lattice","study8/analysis/results/primary_findings.json","structural/invariant zero under frozen schedules","treatment-effect evidence; proof that real systems cannot accept stale state or need rollback"
S8-C13,Related Work,"PQC for space, hybrid migration, crypto agility, and constrained-link PQC are prior work","study8/STUDY8_LITERATURE_REGISTER.md; publication/study8/references/references.bib","prior work establishes relevance and narrows the contribution","first PQC satellite study; first crypto agility for space; first PQC bandwidth study"
S8-C14,Methods/Limitations,"Logical slots and modeled bytes are not physical performance measurements","study8/STUDY8_CLAIM_BOUNDARY.md; study8/STUDY8_CONTACT_MODEL.md; study8/STUDY8_CRYPTO_OBJECT_BUDGETS.json","logical ordering and standardized-object byte-budget model","seconds/ms latency; RF throughput; CPU; energy; flight performance; actual CCSDS framing overhead"
S8-C15,Throughout,"Study 8 remains a separate companion publication and is not pooled with Studies 1-7","study8/STUDY8_CLAIM_BOUNDARY.md; study8/STUDY8_TECHNICAL_CLOSE.json; study8/PUBLICATION_DEVELOPMENT_AUTHORIZATION.json","separate companion-study evidence line","retrospective pooling with Study 1/2 or rewriting earlier frozen findings"
S8-C16,Abstract/Limitations,"Primary/reference model and statistical reproduction are same-repository implementation-separated checks","study8/results/S8-PQC-ICR-001/independent_audit_summary.json; study8/analysis/results/findings_audit.json; study8/analysis/results/interpretation_audit.json","separately implemented same-repository reproduction/audit","external laboratory replication; independent human replication; empirical validation"
