claim_id,research_question,manuscript_claim,evidence_authority,required_boundary,status
S2-C01,RQ1,"V1-V4 changed B0/S1 response behavior relative to V0 and reduced adjudicated unsafe-permissive rate by 1.0 under the frozen Block-A prerequisites.","study2/docs/PHASE7_RESULTS_FREEZE.md; Phase-7 primary contrasts","Block-A-specific effect; no global policy score or universal security claim.",FROZEN_SUPPORTED
S2-C02,RQ1,"Under V5, B0/S1 reached evidence-qualified recovery while adjudicated unsafe-permissive remained 1.0.","study2/docs/PHASE7_RESULTS_FREEZE.md; Phase-7 cell summary and primary contrasts","Policy-visible qualification is not objective correctness under bounded producer compromise.",FROZEN_SUPPORTED
S2-C03,RQ1,"S2_S1_EVIDENCE_AWARE and S2_B0_FAIL_CLOSED had identical primary endpoint estimates within Block A.","study2/docs/PHASE7_RESULTS_FREEZE.md; primary_contrasts.csv","Do not generalize equality beyond the frozen Block-A estimands.",FROZEN_SUPPORTED
S2-C04,RQ2,"S1 recovered at 10/25/65/185/30 logical SIL seconds across K0/K1/K2/K3/K4 with unsafe-permissive rate 0.","study2/docs/PHASE7_RESULTS_FREEZE.md; cell_summary.csv","K4 is intermittent/flapping rather than ordinal severity 4; logical SIL seconds are not real-link latency.",FROZEN_SUPPORTED
S2-C05,RQ2,"B0 produced an unsafe-permissive increase of +1.0 versus K0 at each non-K0 contact profile.","study2/docs/PHASE7_RESULTS_FREEZE.md; primary/secondary contrasts","Interpret as modeled authorization/contact behavior only.",FROZEN_SUPPORTED
S2-C06,RQ3,"All 54 C-family BENIGN/ADVERSARIAL contrasts were zero and 0/54 were Holm-rejected.","study2/docs/PHASE7_RESULTS_FREEZE.md; secondary_contrasts.csv","Structural label-invariance/control: cause label does not change hidden truth or generated policy-visible evidence.",FROZEN_SUPPORTED
S2-C07,RQ3,"Block C does not establish that policies can or cannot discriminate genuinely different benign and adversarial causal mechanisms.","study2/docs/PHASE7_RESULTS_FREEZE.md; runtime-engine review correction","This limitation is mandatory in Results/Discussion and cannot be weakened without a post-freeze amendment.",MANDATORY_LIMITATION
S2-C08,RQ4,"Removing mission/contact context in the unauthorized-command setting and using security-only context in update/recovery changed specific endpoints.","study2/docs/PHASE7_RESULTS_FREEZE.md; D_ABLATION contrasts","Secondary n=32 sensitivity/estimation; no universal dominant-context claim.",FROZEN_SUPPORTED
S2-C09,RQ5,"A3/K0 produced residual unauthorized state in all policies while B0/S1 could still reach evidence-qualified recovery.","study2/docs/PHASE7_RESULTS_FREEZE.md; E_STRESS_PROFILE contrasts","Evidence-qualified recovery does not guarantee objective correctness under multiple controlled producers.",FROZEN_SUPPORTED
S2-C10,RQ5,"A2/K2 showed S1 withholding recovery while B0 recovered with an unsafe-permissive response.","study2/docs/PHASE7_RESULTS_FREEZE.md; E_POLICY_WITHIN_PROFILE contrasts","A2/K2 is explicitly coupled producer compromise/contact loss; not an adversary-only causal effect.",FROZEN_SUPPORTED
S2-C11,CROSS_CUTTING,"The Phase-7 result tables were independently recomputed with zero mismatches.","study2/evidence/phase7/INDEPENDENT_REPRODUCTION_AUDIT.json; study2/PHASE7_PROVENANCE.json","Independent arithmetic reproduction is not additional campaign evidence and does not change the frozen analysis.",FROZEN_SUPPORTED
S2-C12,CROSS_CUTTING,"Study 2 contributes no weighted global policy score or global policy rank.","study2/PHASE7_RESULTS_FREEZE.json; study2/PHASE7_PROVENANCE.json","Any manuscript language implying a universal policy winner is prohibited.",MANDATORY_LIMITATION
S2-C13,CROSS_CUTTING,"Study-2 results are based on 3,872 VALID observations across 85 cells with 0 INVALID attempts.","study2/PHASE7_RESULTS_FREEZE.json; Phase-6 evidence bindings","Do not pool this population with the 720 Study-1 observations.",FROZEN_SUPPORTED
S2-C14,CROSS_CUTTING,"The Study-2 source evidence is hash-bound but still requires a responsible-release-reviewed durable DOI archive before submission.","study2/PHASE7_PROVENANCE.json; publication/manuscript/07-declarations-and-availability.md","Do not claim the Study-1 Zenodo DOI contains Study-2 source observations and do not invent a Study-2 DOI.",PRE_SUBMISSION_GATE
