claim_id,section,claim,evidence_authority,allowed_language,prohibited_overreach
P4-C01,Study 8 Methods,"Study 8 contains 3456 deterministic positions","study8/STUDY8_PROTOCOL.json; study8/STUDY8_TECHNICAL_CLOSE.json","complete frozen deterministic population","random sample; representative mission population"
P4-C02,Study 8 Results,"All four Study 8 policies succeed in 635/864 positions","study8 frozen primary findings; publication/study8/tables/table-s8-2-primary-profile.csv","exact finite-population result","universal policy equivalence"
P4-C03,Study 8 Results,"Study 8 P3-P1 = 0.000000 percentage points in all prespecified strata","publication/study8/tables/table-s8-3-p3-vs-p1-strata.csv","exact frozen null","policy can never help in other designs"
P4-C04,Study 8 Results,"Study 8 profile success is 93.7500%, 64.9306%, 61.8056%","publication/study8/tables/table-s8-2-primary-profile.csv","fixed-capacity modeled success","algorithm speed/security ranking"
P4-C05,Study 8 Results,"Success is non-increasing with object burden in 1152/1152 matched positions","study8 frozen analysis","matched finite-model ordering","causal statement for all PQC deployments"
P4-C06,Study 8 Results,"Equal 65536-byte cycle capacity yields different regime success","study8/STUDY8_CONTACT_MODEL.md; frozen findings","logical timing distribution conditions feasibility","measured orbit/RF result"
P4-C07,Study 8 Results,"D12/D24/D48 success gradient is 32.6389%, 87.8472%, 100% for P1/P3","table-s8-3-p3-vs-p1-strata.csv","logical deadline effect","conversion to seconds or hours"
P4-C08,Study 8 Results,"Policies redistribute exposure, availability, overlap, resource use and failure labels","table-s8-4-policy-tradeoffs.csv","modeled state/resource tradeoff","overall policy ranking"
P4-C09,Study 8E Methods,"Study 8E uses 20 traces, 476 source rows, 454 anchors and 65376 cases","S8E-CANON-RESULTS-002-FREEZE-001","exact corrected frozen population","representative global contact population"
P4-C10,Study 8E Timing,"Frozen traces have 20-25 windows and heterogeneous duration/gap summaries","Results-002 TRACE_TIMING_SUMMARY.csv","descriptive frozen observation-opportunity timing","operational command-contact statistics"
P4-C11,Study 8E Results,"17640/65376 cases have finite minimum-rate thresholds","S8E-CANON-RESULTS-002-FREEZE-001","exact corrected result","measured link feasibility"
P4-C12,Study 8E Results,"Finite modeled thresholds range 48-57727 bps; median 345 bps","S8E-CANON-RESULTS-002-FREEZE-001","hypothetical uniform effective payload-rate threshold","SatNOGS throughput or transmitter rate"
P4-C13,Study 8E Results,"Finite fractions by horizon are 0.052863, 0.205947, 0.550661","CANONICAL_FINDINGS.json Results-002","extension-only elapsed-time horizon result","mapping to Study 8 logical deadlines"
P4-C14,Study 8E Results,"A0/A1 finite fraction 0.405286; A2/A3 0.134361","CANONICAL_FINDINGS.json Results-002","model-specific disruption result","attack prevalence or mission outage rate"
P4-C15,Study 8E Results,"Each policy has 4410/16344 finite cases","CANONICAL_FINDINGS.json Results-002","exact feasibility classification","policy superiority"
P4-C16,Study 8E Results,"All 4410 both-finite P3/P1 differences equal 0 bps","S8E-CANON-RESULTS-002-FREEZE-001","exact matched threshold null","external replication"
P4-C17,Study 8E Results,"Each profile has 5880/21792 finite cases","CANONICAL_FINDINGS.json Results-002","exact solved-rate feasibility classification","profile security equivalence"
P4-C18,Study 8E Results,"Profile burden ordering is preserved 21792/21792","S8E-CANON-RESULTS-002-FREEZE-001","matched modeled burden ordering","recommendation to choose lower-security profile"
P4-C19,Cross-study,"P3 has no advantage on the respective feasibility endpoint in either study","P4-C03 + P4-C16","structural consistency across separate evidence layers","replication; pooled effect"
P4-C20,Cross-study,"Longer allowed recovery time expands feasible set in both studies","P4-C07 + P4-C13","qualitative directional synthesis","direct percentage comparison; slot-hour conversion"
P4-C21,Cross-study,"Object burden reduces fixed-capacity success in Study 8 while preserving required-rate ordering in Study 8E","P4-C04/P4-C05 + P4-C17/P4-C18","distinct complementary estimands","pooled profile effect"
P4-C22,Limitations,"SatNOGS observations are timing proxies only","study8e/STUDY8E_PROTOCOL.json; CLAIM_BOUNDARY.md","observation-opportunity timing","authenticated/bidirectional command contact"
P4-C23,Limitations,"Modeled bps is not measured throughput","study8e/STUDY8E_PROTOCOL.json; Results-002 freeze","hypothetical modeled rate","physical satellite/ground-station rate"
P4-C24,Non-overlap,"Paper 4 does not use Paper 5 semantic-interoperability evidence","PAPER4_STUDY8_8E_ARCHITECTURE_AND_NONOVERLAP_GATE_2026-09-20.md","separate publication lane","reuse of Paper 5 datasets/results"
