claim_id,manuscript_claim,evidence_authority,boundary
C1,"All four Study 8 policies succeed in 635/864 positions (73.4954%).","study8 frozen findings; publication/study8/tables/table-s8-2-primary-profile.csv","Exact finite-population result."
C2,"Study 8 P3 minus P1 primary difference is 0.000000 percentage points.","publication/study8/tables/table-s8-3-p3-vs-p1-strata.csv","Exact prespecified primary contrast."
C3,"Study 8 profile success is 93.7500%, 64.9306%, and 61.8056%.","publication/study8/tables/table-s8-2-primary-profile.csv","Exact finite-population result."
C4,"Study 8 success is non-increasing with larger object burden in all 1,152 matched non-profile positions.","study8 frozen analysis and manuscript source","Fixed model only; not algorithm-speed evidence."
C5,"Equal 65,536-byte full-cycle capacity produces different deadline-constrained Study 8 success across contact regimes.","study8 protocol; publication/study8/tables/table-s8-3-p3-vs-p1-strata.csv","Logical contact only; no physical time."
C6,"Study 8 policies redistribute predecessor exposure, availability, overlap, resource use, attempts, and terminal failure classification.","publication/study8/tables/table-s8-4-policy-tradeoffs.csv","No overall policy ranking."
C7,"Study 8E contains 20 trace pairs, 476 source rows, 454 eligible anchors, and 65,376 canonical cases.","study8e/CANONICAL_RESULTS_002_FREEZE.json","Exact Results-002 values."
C8,"Study 8E has 17,640 finite and 47,736 non-finite minimum-rate cases (finite fraction 0.269824).","study8e/CANONICAL_RESULTS_002_FREEZE.json","Exact Results-002 values."
C9,"Study 8E finite modeled rate thresholds range from 48 to 57,727 bps with median 345 bps.","study8e/CANONICAL_RESULTS_002_FREEZE.json","Modeled threshold; not measured throughput."
C10,"Study 8E finite fractions at 6 h, 12 h, and 24 h are 0.052863, 0.205947, and 0.550661.","study8e Results-002 canonical findings","Extension-only elapsed-time horizons."
C11,"Study 8E A0/A1 finite fraction is 0.405286 and A2/A3 finite fraction is 0.134361.","study8e Results-002 canonical findings","Model-specific disruption result."
C12,"Each Study 8E policy has 4,410/16,344 finite cases.","study8e Results-002 canonical findings","Exact."
C13,"Every both-finite Study 8E P3/P1 threshold difference is 0 bps.","study8e/CANONICAL_RESULTS_002_FREEZE.json","Exact; not replication claim."
C14,"Each Study 8E profile has 5,880/21,792 finite cases.","study8e Results-002 canonical findings","Exact."
C15,"Study 8E profile burden ordering is preserved in 21,792/21,792 matched checks.","study8e/CANONICAL_RESULTS_002_FREEZE.json","Exact."
C16,"Study 8E rollback and stale-epoch-acceptance sums are zero in frozen outputs.","study8e Results-002 canonical findings","Structural modeled field only."
C17,"P3 shows no advantage on the respective feasibility endpoint in either study.","C2 and C13","Cross-study structural synthesis; do not call external replication."
C18,"Longer allowed recovery time expands the feasible set in both studies.","Study 8 deadline strata; Study 8E horizon strata","Qualitative synthesis only; do not map slots to hours."
C19,"Object burden reduces fixed-capacity success in Study 8 and preserves higher required-rate burden ordering in Study 8E.","C3/C4 and C14/C15","Distinct endpoints; no pooled effect."
C20,"Study 8E strengthens external timing relevance of Paper 4.","Study 8E protocol and frozen SatNOGS timing population","Observation-opportunity timing only; not operational validation."
